dim_emitente.id_emitente,dim_emitente.cnpj,dim_emitente.nome,dim_emitente.uf,dim_emitente.municipio
1,01627395000110,CASSIANO MERCADINHO LTDA,GO,ALVES GRANDE
2,01627489000199,GONÇALVES ATACAREJO LTDA,CE,RODRIGUES
3,02843765000119,MONTEIRO MERCADINHO LTDA,BA,FONSECA
4,04259871000185,OLIVEIRA MERCADO LTDA,PA,PIRES
5,04516832000116,VARGAS ATACAREJO LTDA,PE,BARROS
6,04526819000148,ANDRADE SUPERMERCADO LTDA,AL,NASCIMENTO
7,05641832000100,DA ROSA MERCADINHO LTDA,TO,GOMES
8,05672934000193,MORAES SUPERMERCADO LTDA,AP,CARDOSO
9,05768142000117,FOGAÇA SUPERMERCADOS LTDA,SP,FERREIRA GRANDE
10,06714925000180,RIOS SUPERMERCADO LTDA,SP,DA PAZ
11,07698153000101,DUARTE SUPERMERCADOS LTDA,MT,PIMENTA
12,09438276000120,MARTINS HIPERMERCADO LTDA,DF,FOGAÇA DO GALHO
13,09731462000153,ARAÚJO MERCADO LTDA,AL,CARDOSO DA PRAIA
14,10452967000168,VASCONCELOS MERCADO LTDA,AC,NOGUEIRA
15,12367804000102,NOVAIS MERCADO LTDA,RN,SANTOS
16,12657039000165,CASTRO SUPERMERCADOS LTDA,PE,MACHADO
17,12975480000195,VIEIRA ATACAREJO LTDA,SC,GUERRA
18,13640928000182,REZENDE SUPERMERCADOS LTDA,MT,PIMENTA
19,13892074000121,NASCIMENTO MERCADO LTDA,SP,RODRIGUES
20,14726980000119,RIBEIRO HIPERMERCADO LTDA,MT,CAMARGO DE DA CUNHA
21,14786592000123,DA LUZ MERCADINHO LTDA,MT,MACEDO DO SUL
22,19685724000144,FERNANDES MERCADINHO LTDA,MS,JESUS
23,20671549000115,DA PAZ MERCADO LTDA,RJ,APARECIDA GRANDE
24,20871436000163,CASSIANO SUPERMERCADO LTDA,AM,RAMOS
25,21560843000112,CORREIA HIPERMERCADO LTDA,MG,ARAÚJO DE DA CUNHA
26,21639754000166,MACEDO MERCADINHO LTDA,RR,RIOS DE DA LUZ
27,21740863000175,BARBOSA MERCADINHO LTDA,PA,GUERRA PAULISTA
28,23645971000194,SAMPAIO MERCADINHO LTDA,PB,SAMPAIO DO OESTE
29,23974801000153,DA ROCHA HIPERMERCADO LTDA,MA,MARTINS DE APARECIDA
30,24691035000182,FOGAÇA HIPERMERCADO LTDA,RO,NOVAIS DA PRAIA
31,26578941000109,VASCONCELOS SUPERMERCADOS LTDA,SC,DA COSTA
32,26973410000102,FOGAÇA SUPERMERCADOS LTDA,PE,CASTRO
33,28346150000170,GONÇALVES HIPERMERCADO LTDA,CE,CUNHA
34,28695410000113,CARVALHO SUPERMERCADOS LTDA,SP,DUARTE DE MORAES
35,29573406000145,PIMENTA HIPERMERCADO LTDA,ES,MACHADO PAULISTA
36,31649502000171,FERREIRA MERCADO LTDA,MA,BARBOSA
37,32751869000164,ALBUQUERQUE HIPERMERCADO LTDA,BA,GUERRA DA PRATA
38,36082951000102,SAMPAIO MERCADO LTDA,AL,CASSIANO
39,36207415000188,SANTOS SUPERMERCADOS LTDA,AM,FONSECA
40,37820619000152,APARECIDA MERCADO LTDA,SE,DIAS
