fato_vendas.id_venda,fato_vendas.id_nfe,fato_vendas.id_emitente,fato_vendas.id_data,fato_vendas.id_localidade,fato_vendas.valor_total,fato_vendas.valor_produtos,fato_vendas.valor_desconto
0,NFe11190868395241000110550030004695851190205487,72,27,20,22.43,22.43,0.0
1,NFe11200560149872000148550010007450121109126614,65,37,20,81.38,81.38,0.0
2,NFe11210341968357000145550030000411631957892470,45,48,20,42.33,42.33,0.0
3,NFe11220124691035000182550020007747301261680809,30,54,20,102.05,102.05,0.0
4,NFe11240353716094000166550020005134401251326107,55,83,20,138.02,138.93,0.91
5,NFe11240353716094000166550020005134401251326107,55,82,20,138.02,138.93,0.91
6,NFe11250854869370000199550030006101181304629148,57,95,20,97.48,99.86,2.38
7,NFe12190110452967000168550010006640361445303553,14,19,1,8.16,8.16,0.0
8,NFe12190110452967000168550010006640361445303553,14,18,1,8.16,8.16,0.0
9,NFe12231084620519000162550020002982091785586479,89,78,1,160.72,161.02,0.3
10,NFe12240287314290000126550030001511121557446758,91,81,1,62.02,62.02,0.0
11,NFe13180320871436000163550020005520321954477275,24,1,3,82.0,83.02,1.02
12,NFe13180353974062000160550030007021521670787680,56,2,3,64.39,65.99,1.6
13,NFe13180796205487000118550020002217831735205328,98,9,3,89.84,90.31,0.47
14,NFe13181042865713000168550010008259381931183677,46,15,3,175.42,176.05,0.63
15,NFe13190776093481000199550020005450971778892349,82,26,3,107.32,108.9,1.58
16,NFe13220636207415000188550010004236191383093958,39,60,3,130.55,131.02,0.47
17,NFe13220671952803000194550030003950131422721087,76,58,3,3.64,3.8,0.16
18,NFe13230676385124000102550020004902571679444529,83,72,3,306.7,306.7,0.0
19,NFe14200468721493000192550020006413001567744392,73,36,21,11.25,11.7,0.45
20,NFe14230621639754000166550010003756011666072254,26,73,21,43.33,43.33,0.0
21,NFe14251181743625000145550020007352831300618190,87,99,21,200.41,200.41,0.0
22,NFe15190795724103000100550010008976181671237635,96,25,14,18.39,18.39,0.0
23,NFe15201104259871000185550010005568551818557156,4,41,14,115.16,118.94,3.78
24,NFe15201221740863000175550030009989531460467610,27,42,14,14.49,15.18,0.69
25,NFe15201240879132000150550020008297721267542303,43,43,14,64.33,65.03,0.7
26,NFe15230571934620000146550030008471871685735048,75,70,14,155.33,155.33,0.0
27,NFe15250351739026000197550020006536031463617251,53,91,14,97.42,97.42,0.0
28,NFe15250473416928000125550030006299511827981056,80,93,14,57.16,59.41,2.25
29,NFe16200305672934000193550030005677151581845032,8,35,4,103.23,103.23,0.0
30,NFe16221295804276000139550020005378761637941859,97,67,4,41.05,41.13,0.08
31,NFe16230946583021000188550010009474051806877717,48,77,4,90.44,91.02,0.58
32,NFe16231241268370000191550030009926621216887262,44,80,4,131.31,132.67,1.36
33,NFe17201205641832000100550020003979331846898119,7,45,25,117.27,117.39,0.12
34,NFe21181187352046000158550020006663011841404065,92,16,10,85.18,86.74,1.56
35,NFe21210823974801000153550020004645371127190704,29,50,10,129.43,129.43,0.0
36,NFe21230731649502000171550020007698341929138283,36,76,10,158.82,164.5,5.68
37,NFe23180876590128000114550010000357501111331495,84,10,6,42.88,42.88,0.0
38,NFe23190701627489000199550010001564751157663210,2,24,6,122.09,122.09,0.0
39,NFe23230758370469000100550020002373551292380655,62,75,6,46.73,48.7,1.97
40,NFe23240828346150000170550030009593971406317121,33,88,6,20.9,21.55,0.65
41,NFe23240828346150000170550030009593971406317121,33,87,6,20.9,21.55,0.65
42,NFe24190612367804000102550010004562841190657828,15,23,19,170.52,170.52,0.0
43,NFe24200752149708000102550010009330071967348809,54,38,19,85.99,85.99,0.0
44,NFe24230792075836000173550010004342951910933918,93,74,19,30.88,31.8,0.92
45,NFe24250549256018000148550010009580201928684852,52,94,19,156.21,156.81,0.6
46,NFe25180748326059000109550030001937941561041002,50,8,15,93.98,93.98,0.0
47,NFe25190423645971000194550010007027601944325394,28,22,15,122.3,122.75,0.45
48,NFe25250457431082000146550030009844201664189262,60,92,15,80.11,80.64,0.53
49,NFe26200312657039000165550010005072041297053387,16,34,16,136.11,137.24,1.13
50,NFe26200967452098000199550020004667571291342543,70,39,16,147.27,150.39,3.12
51,NFe26201272569843000114550010009219221240261286,78,44,16,50.45,54.03,3.58
52,NFe26220526973410000102550020001485421584688451,32,57,16,254.11,259.25,5.14
53,NFe26231104516832000116550010006435671879941446,5,79,16,185.38,185.38,0.0
54,NFe27180648169725000134550030006337031618510396,49,6,2,115.74,116.42,0.68
55,NFe27181009731462000153550010004538141144483691,13,13,2,143.87,146.7,2.83
56,NFe27181136082951000102550020000668541616548014,38,17,2,104.24,104.24,0.0
57,NFe27230504526819000148550030003708391902902934,6,71,2,161.26,162.48,1.22
58,NFe27240358367192000159550010008622321906680197,61,83,2,22.95,22.95,0.0
59,NFe27240358367192000159550010008622321906680197,61,82,2,22.95,22.95,0.0
60,NFe27240997543628000175550010002450691863143144,100,89,2,206.51,206.98,0.47
61,NFe28180382563910000147550010003121081657565347,88,3,23,78.15,80.75,2.6
62,NFe28250937820619000152550020004209531243016318,40,98,23,104.24,109.39,5.15
63,NFe28250968740251000146550010004738231146949404,74,97,23,61.48,61.48,0.0
64,NFe29180693567420000135550020003587921898720810,94,7,5,128.72,135.06,6.34
65,NFe29180968172439000135550030009730201579629581,71,11,5,66.4,66.4,0.0
66,NFe29181002843765000119550020000479101215843650,3,14,5,18.3,18.3,0.0
67,NFe29200359802361000102550030001419701639905370,64,33,5,172.08,174.03,1.95
