l.uf,l.regiao,quantidade_nfe,faturamento_total,ticket_medio
AM,Norte,8,959.86,119.98
GO,Centro-Oeste,7,818.18,116.88
AL,Nordeste,7,777.52,111.07
PE,Nordeste,5,773.32,154.66
RJ,Sudeste,5,770.53,154.11
RO,Norte,7,621.71,88.82
BA,Nordeste,6,561.58,93.6
PA,Norte,7,522.28,74.61
RN,Nordeste,4,443.6,110.9
MT,Centro-Oeste,6,420.39,70.07
SP,Sudeste,5,387.03,77.41
MA,Nordeste,3,373.43,124.48
MG,Sudeste,3,371.38,123.79
AP,Norte,4,366.03,91.51
PB,Nordeste,3,296.39,98.8
RR,Norte,3,254.99,85.0
CE,Nordeste,5,253.5,50.7
SC,Sul,5,250.58,50.12
SE,Nordeste,3,243.87,81.29
AC,Norte,4,239.06,59.77
DF,Centro-Oeste,3,170.18,56.73
PR,Sul,1,148.73,148.73
ES,Sudeste,1,129.4,129.4
TO,Norte,1,117.27,117.27
MS,Centro-Oeste,2,95.47,47.74
