e.cnpj,e.nome,l.uf,quantidade_nfe,faturamento_total,ticket_medio
48596213000154,PEIXOTO HIPERMERCADO LTDA,RJ,2,511.54,255.77
57216438000129,DA ROSA ATACAREJO LTDA,GO,2,388.56,194.28
76385124000102,SILVEIRA HIPERMERCADO LTDA,AM,1,306.7,306.7
53716094000166,SILVA MERCEARIA LTDA,RO,2,276.04,138.02
26973410000102,FOGAÇA SUPERMERCADOS LTDA,PE,1,254.11,254.11
01627395000110,CASSIANO MERCADINHO LTDA,GO,1,246.57,246.57
20671549000115,DA PAZ MERCADO LTDA,RJ,2,213.12,106.56
97543628000175,OLIVEIRA ATACAREJO LTDA,AL,1,206.51,206.51
81743625000145,PASTOR SUPERMERCADOS LTDA,RR,1,200.41,200.41
28695410000113,CARVALHO SUPERMERCADOS LTDA,SP,1,187.97,187.97
