d.ano,d.mes,quantidade_nfe,faturamento_total,ticket_medio
2018,3,3,224.54,74.85
2018,5,2,52.15,26.08
2018,6,2,244.46,122.23
2018,7,2,183.82,91.91
2018,8,1,42.88,42.88
2018,9,1,66.4,66.4
2018,10,4,375.11,93.78
2018,11,2,189.42,94.71
2019,1,4,404.88,101.22
2019,2,1,32.73,32.73
2019,3,1,18.28,18.28
2019,4,1,122.3,122.3
2019,6,1,170.52,170.52
2019,7,3,247.8,82.6
2019,8,1,22.43,22.43
2019,9,2,269.7,134.85
2019,10,1,76.26,76.26
2019,11,2,206.8,103.4
2020,3,3,411.42,137.14
2020,4,1,11.25,11.25
2020,5,1,81.38,81.38
2020,7,1,85.99,85.99
2020,9,1,147.27,147.27
2020,11,2,164.3,82.15
2020,12,4,246.54,61.63
2021,1,1,64.24,64.24
2021,2,1,15.72,15.72
2021,3,1,42.33,42.33
2021,6,1,14.87,14.87
2021,8,1,129.43,129.43
2021,9,1,117.42,117.42
2021,11,4,345.94,86.48
2022,1,1,102.05,102.05
2022,5,3,590.37,196.79
2022,6,3,216.2,72.07
2022,8,1,35.02,35.02
2022,9,1,39.13,39.13
2022,10,2,190.01,95.01
2022,11,2,174.97,87.49
2022,12,2,160.37,80.19
2023,2,1,246.57,246.57
2023,5,2,316.59,158.3
2023,6,2,350.03,175.02
2023,7,3,236.43,78.81
2023,9,1,90.44,90.44
2023,10,1,160.72,160.72
2023,11,1,185.38,185.38
2023,12,1,131.31,131.31
2024,2,1,62.02,62.02
2024,3,4,321.94,80.49
2024,5,1,60.43,60.43
2024,6,1,19.21,19.21
2024,8,5,674.62,134.92
2024,9,1,206.51,206.51
2024,10,1,56.76,56.76
2025,3,1,97.42,97.42
2025,4,2,137.27,68.63
2025,5,1,156.21,156.21
2025,8,2,138.38,69.19
2025,9,2,165.72,82.86
2025,11,1,200.41,200.41
2025,12,1,15.21,15.21
